date,ALE.WA,ALR.WA,BDX.WA,CCC.WA,CDR.WA,CPS.WA,DNP.WA,JSW.WA,KGH.WA,KRU.WA,KTY.WA,LPP.WA,MBK.WA,OPL.WA,PCO.WA,PEO.WA,PGE.WA,PKN.WA,PKO.WA,PZU.WA
2025-05-05,33.224998474121094,102.0999984741211,645.4000244140625,220.0,250.5,18.690000534057617,537.2000122070312,24.700000762939453,122.8499984741211,403.0,883.5,15680.0,804.0,9.723999977111816,18.395000457763672,170.58999633789062,8.37399959564209,68.81999969482422,74.72000122070312,61.0
2025-05-02,33.415000915527344,103.5,662.2000122070312,225.0,257.6000061035156,18.635000228881836,537.2000122070312,24.59000015258789,123.05000305175781,406.0,891.0,15730.0,829.7999877929688,9.800000190734863,17.969999313354492,171.13169860839844,8.314000129699707,69.05999755859375,75.0,61.08000183105469
2025-04-30,32.96500015258789,102.25,633.2000122070312,217.5,232.89999389648438,18.489999771118164,528.7999877929688,24.100000381469727,119.55000305175781,399.20001220703125,864.0,15400.0,823.0,9.697999954223633,17.719999313354492,170.04830932617188,8.232000350952148,68.2300033569336,72.37999725341797,58.84000015258789
2025-04-29,33.505001068115234,106.0999984741211,640.0,244.5,233.89999389648438,18.485000610351562,536.4000244140625,24.3799991607666,124.5,403.79998779296875,861.0,15600.0,865.4000244140625,9.678000450134277,18.049999237060547,173.88534545898438,8.276000022888184,68.7300033569336,75.83999633789062,59.880001068115234
2025-04-28,33.59000015258789,107.75,646.4000244140625,236.1999969482422,228.10000610351562,18.299999237060547,533.4000244140625,24.350000381469727,125.25,392.5,854.5,15695.0,868.0,9.605999946594238,17.700000762939453,173.65963745117188,8.071999549865723,69.31999969482422,75.81999969482422,59.439998626708984
2025-04-25,33.224998474121094,107.19999694824219,628.0,229.5,224.6999969482422,18.239999771118164,530.5999755859375,24.350000381469727,125.75,388.6000061035156,853.0,15400.0,864.4000244140625,9.545999526977539,17.59000015258789,173.07278442382812,7.99399995803833,68.80000305175781,76.19999694824219,59.400001525878906
2025-04-24,33.81999969482422,112.30000305175781,627.0,230.60000610351562,226.0,18.09000015258789,522.5999755859375,24.3799991607666,125.5999984741211,388.79998779296875,845.0,15600.0,868.5999755859375,9.64799976348877,17.415000915527344,173.11793518066406,7.949999809265137,68.30000305175781,76.62000274658203,59.099998474121094
2025-04-23,33.099998474121094,113.80000305175781,626.7999877929688,234.3000030517578,226.0,17.989999771118164,520.0,24.049999237060547,123.6500015258789,386.29998779296875,843.5,15695.0,861.0,9.718000411987305,17.4950008392334,173.2533416748047,7.7179999351501465,67.08999633789062,76.04000091552734,58.900001525878906
2025-04-22,31.56999969482422,108.5999984741211,630.4000244140625,226.10000610351562,225.1999969482422,18.049999237060547,519.7999877929688,23.719999313354492,116.94999694824219,381.29998779296875,818.5,15500.0,825.4000244140625,9.64799976348877,16.885000228881836,162.64508056640625,7.642000198364258,65.9800033569336,72.13999938964844,57.70000076293945
2025-04-17,31.100000381469727,106.25,629.5999755859375,229.39999389648438,221.60000610351562,17.510000228881836,508.20001220703125,23.280000686645508,114.1500015258789,375.0,809.0,15280.0,794.4000244140625,9.53600025177002,16.299999237060547,159.44003295898438,7.389999866485596,63.70000076293945,70.68000030517578,56.720001220703125
2025-04-16,30.8799991607666,103.8499984741211,631.0,231.0,220.5,17.5,492.5,23.299999237060547,114.0,374.6000061035156,796.0,15128.27734375,777.5999755859375,9.446000099182129,14.800000190734863,157.99549865722656,7.309999942779541,63.86000061035156,69.91999816894531,56.29999923706055
2025-04-15,31.510000228881836,107.9000015258789,640.0,235.0,221.3000030517578,16.684999465942383,488.0,22.989999771118164,114.1500015258789,380.6000061035156,792.0,15270.2119140625,782.7999877929688,9.37600040435791,14.800000190734863,157.363525390625,7.230000019073486,63.04999923706055,70.12000274658203,56.02000045776367
2025-04-14,31.165000915527344,108.5,635.2000122070312,228.8000030517578,218.8000030517578,16.399999618530273,486.79998779296875,23.559999465942383,115.19999694824219,373.3999938964844,786.0,15451.30078125,769.5999755859375,9.25,14.595000267028809,153.6619110107422,7.881999969482422,65.0,68.58000183105469,56.459999084472656
2025-04-11,30.510000228881836,104.8499984741211,584.7999877929688,222.1999969482422,210.39999389648438,16.094999313354492,466.0,23.190000534057617,111.69999694824219,364.20001220703125,760.0,14976.5537109375,736.7999877929688,9.022000312805176,14.335000038146973,148.96719360351562,7.811999797821045,64.44000244140625,66.55999755859375,54.560001373291016
2025-04-10,30.565000534057617,104.6500015258789,571.5999755859375,224.5,212.39999389648438,15.869999885559082,467.8999938964844,23.350000381469727,111.4000015258789,370.20001220703125,772.5,15465.9833984375,740.4000244140625,8.97599983215332,14.390000343322754,148.42547607421875,7.776000022888184,64.30000305175781,68.54000091552734,54.97999954223633
